"manufacturer_part_number","manufacturer","digi-key_part_number","quantity"
"BL652-SA-01-T/R","Laird Connectivity Inc.","BL652-SA-01-CT-ND","1"
"DMP2035U-7","Diodes Incorporated","DMP2035U-7DICT-ND","1"
"MCP23017T-E/SS","Microchip Technology","MCP23017T-E/SSCT-ND","1"
"AP2112K-3.3TRG1","Diodes Incorporated","AP2112K-3.3TRG1DICT-ND","1"
"USB4110-GF-A","GCT","2073-USB4110-GF-A-1-ND","3"
"1N4148WTR","SMC Diode Solutions","1655-1360-1-ND","66"
"MBR160HWTR","SMC Diode Solutions","1655-1439-1-ND","1"
"FT231XS-R","FTDI, Future Technology Devices International Ltd","768-1129-1-ND","1"
"ECS-.327-12.5-34B-TR","ECS Inc.","XC1617CT-ND","1"
"GRM155R60J475ME47D","Murata Electronics","490-5915-1-ND","2"
"GRM188R61A106KE69J","Murata Electronics","490-14372-1-ND","3"
"GRM1555C1H470JA01D","Murata Electronics","490-5942-1-ND","2"
"GCM1555C1H220JA16J","Murata Electronics","490-17747-1-ND","2"
"GRM155R62A104KE14D","Murata Electronics","490-10458-1-ND","3"
"S2B-PH-SM4-TB(LF)(SN)","JST Sales America Inc.","455-1749-1-ND","1"
"KMR211GLFS","C&K","401-1426-1-ND","2"
"JS202011JAQN","C&K","CKN10722CT-ND","1"
"LTST-C171GKT","Lite-On Inc.","160-1423-1-ND","1"
"LTST-C171KSKT","Lite-On Inc.","160-1428-1-ND","1"
"MCP73831T-2ACI/OT","Microchip Technology","MCP73831T-2ACI/OTCT-ND","1"
"RC0402FR-074K7L","Yageo","311-4.7KLRCT-ND","2"
"RC0402FR-07100KL","Yageo","311-100KLRCT-ND","2"
"AC0402FR-0710KL","Yageo","YAG3436CT-ND","2"
"AC0402FR-072K4L","Yageo","YAG5283CT-ND","1"
"RC0402FR-075K1L","Yageo","311-5.10KLRCT-ND","2"
"RC0402FR-0727RL","Yageo","YAG3086CT-ND","2"
"RC0402FR-07220RL","Yageo","311-220LRCT-ND","1"
"RC0402FR-07100RL","Yageo","311-100LRCT-ND","1"
"RC0603FR-07806KL","Yageo","311-806KHRCT-ND","1"
"RC0603FR-072ML","Yageo","311-2.00MHRCT-ND","1"
"RC0402FR-071KP","Yageo","YAG1254CT-ND","4"